2025,2024,university_name,Overall,Teaching,Satisfied with feedback,Student to staff ratio,Spend per student/10,Average entry tariff,Value added score/10,Career after 15 months,Continuation
75,83,Sheffield Hallam University,53.6,82.2,79,17.1,5.7,121,5.8,80,89.9
75,87,University of Hertfordshire,53.6,85.3,80.8,17.6,3.4,119,6.7,78,88.9
75,89,University of Hull,53.6,87.4,80.9,16.5,4.4,130,6.2,80,87.6
75,74,"St Mary's, Twickenham",53.6,87.8,82.2,16.4,2.1,119,5.5,85,84.3
79,84,Abertay University,53.5,88.3,83.1,22.8,1.8,163,7.4,78,87
80,105,University of Wales Trinity Saint David,52.9,89.7,87.3,20.3,3.5,143,4.7,67,84.1
81,90,University of Bradford,52.8,78.4,75.2,20.1,3.2,131,7.2,82,90.9
82,100,Cardiff Metropolitan University,52.6,84.9,82.2,18.9,4.3,133,6.4,80,86.7
83,88,University of Salford,52.5,83,80.2,18.1,4,131,6.3,80,88.1
84,69,University of Plymouth,52.3,83.2,75.9,16.7,5.2,135,5.4,84,91.5
85,101,University of Wolverhampton,52.2,86.5,82.6,15.6,6.4,112,7,78,82.9
86,70,University of Brighton,52.1,80.4,75.4,17,5,122,6.7,79,89.2
86,82,Liverpool Hope University,52.1,84.9,83.1,14.9,2,123,4.6,74,89.3
86,93,Solent,52.1,84.9,81.7,15.3,4.2,119,5.5,71,88
89,71,University for the Creative Arts,51.9,79,79.4,12.6,8.7,137,5.1,66,87.7
90,52,SOAS University of London,51.7,82.1,64.8,15,6.2,140,6.5,82,91.8
91,63,Queen Margaret,51.1,84.8,73.5,20.6,1.9,170,5.6,77,92.3
92,76,Falmouth University,50.9,83.8,80.2,14.3,5.8,134,4.7,70,n/a
93,85,London Metropolitan University,50.8,83.4,81.3,19.3,4.4,102,6.8,70,83.8
94,61,University of Stirling,50.6,84.1,74,19.2,4,181,3.3,79,93
95,98,Robert Gordon University,50,88.5,83.9,19.2,3.3,160,4,85,88.6
